ts,value
0.00000000,2.00000000
0.20004001,1.99838162
0.40008002,1.99675847
0.60012002,1.99513059
0.80016003,1.99349796
1.00020004,1.99186062
1.20024005,1.99021856
1.40028006,1.98857181
1.60032006,1.98692038
1.80036007,1.98526427
2.00040008,1.98360351
2.20044009,1.98193810
2.40048010,1.98026805
2.60052010,1.97859339
2.80056011,1.97691411
3.00060012,1.97523025
3.20064013,1.97354179
3.40068014,1.97184877
3.60072014,1.97015119
3.80076015,1.96844907
4.00080016,1.96674242
4.20084017,1.96503124
4.40088018,1.96331556
4.60092018,1.96159539
4.80096019,1.95987074
5.00100020,1.95814162
5.20104021,1.95640805
5.40108022,1.95467003
5.60112022,1.95292759
5.80116023,1.95118073
6.00120024,1.94942947
6.20124025,1.94767382
6.40128026,1.94591380
6.60132026,1.94414941
6.80136027,1.94238067
7.00140028,1.94060759
7.20144029,1.93883020
7.40148030,1.93704849
7.60152030,1.93526248
7.80156031,1.93347219
8.00160032,1.93167762
8.20164033,1.92987880
8.40168034,1.92807574
8.60172034,1.92626844
8.80176035,1.92445693
9.00180036,1.92264121
9.20184037,1.92082130
9.40188038,1.91899721
9.60192038,1.91716896
9.80196039,1.91533655
10.00200040,1.91350001
10.20204041,1.91165934
10.40208042,1.90981456
10.60212042,1.90796568
10.80216043,1.90611272
11.00220044,1.90425569
11.20224045,1.90239460
11.40228046,1.90052947
11.60232046,1.89866030
11.80236047,1.89678712
12.00240048,1.89490993
12.20244049,1.89302876
12.40248050,1.89114361
12.60252050,1.88925449
12.80256051,1.88736143
13.00260052,1.88546443
13.20264053,1.88356351
13.40268054,1.88165868
13.60272054,1.87974996
13.80276055,1.87783735
14.00280056,1.87592088
14.20284057,1.87400055
14.40288058,1.87207639
14.60292058,1.87014840
14.80296059,1.86821659
15.00300060,1.86628099
15.20304061,1.86434160
15.40308062,1.86239844
15.60312062,1.86045152
15.80316063,1.85850086
16.00320064,1.85654647
16.20324065,1.85458836
16.40328066,1.85262656
16.60332066,1.85066106
16.80336067,1.84869189
17.00340068,1.84671905
17.20344069,1.84474258
17.40348070,1.84276246
17.60352070,1.84077873
17.80356071,1.83879140
18.00360072,1.83680047
18.20364073,1.83480597
18.40368074,1.83280790
18.60372074,1.83080629
18.80376075,1.82880113
19.00380076,1.82679246
19.20384077,1.82478028
19.40388078,1.82276461
19.60392078,1.82074546
