ts;dist;se_frame_number;g_direction_x;g_direction_y;g_direction_z;g_direction_q;g_heading;g_pitch;h_heading;c_vel;c_yaw;gps_speed;latitude;longitude;session_id;lap;scenecam_x;scenecam_y
2.304622809834661439e+03;1.012013757478899379e+03;2.183610000000000000e+05;3.103025555610656738e-01;-5.962295830249786377e-02;-9.487662911415100098e-01;7.477658987045288086e-01;3.160930573940277100e-01;-5.965833738446235657e-02;1.049821898341178894e-01;5.200000000000000000e+01;4.960000000000000000e+02;1.583225030532037003e+01;6.027456990715289464e+01;2.508699314612028175e+01;2.011080101000000000e+09;1.000000000000000000e+00;4.658267658309226817e+02;2.364155692744247119e+02
2.304639478458062968e+03;1.012183621397586990e+03;2.183620000000000000e+05;3.103025555610656738e-01;-5.962295830249786377e-02;-9.487662911415100098e-01;7.477658987045288086e-01;3.160930573940277100e-01;-5.965833738446235657e-02;1.049821898341178894e-01;5.200000000000000000e+01;4.950000000000000000e+02;1.580587080823177715e+01;6.027457047413491154e+01;2.508699031121022216e+01;2.011080101000000000e+09;1.000000000000000000e+00;4.658267658309226817e+02;2.364155692744247119e+02
2.304656147081464042e+03;1.012353485316269939e+03;2.183640000000000000e+05;2.716976404190063477e-01;-7.957092020660638809e-04;-9.623823165893554688e-01;8.172737360000610352e-01;2.751566767692565918e-01;-7.957092602737247944e-04;1.043058112263679504e-01;5.200000000000000000e+01;4.950000000000000000e+02;1.577949131114390546e+01;6.027457104111692132e+01;2.508698747630016257e+01;2.011080101000000000e+09;1.000000000000000000e+00;4.449446398755252403e+02;2.076732050231360063e+02
2.304672815704865116e+03;1.012523349234952889e+03;2.183640000000000000e+05;2.965189218521118164e-01;-7.994540035724639893e-02;-9.516749978065490723e-01;8.017354011535644531e-01;3.020426928997039795e-01;-8.003080636262893677e-02;1.121611073613166809e-01;5.200000000000000000e+01;4.950000000000000000e+02;1.575311181405603378e+01;6.027457160809893111e+01;2.508698464139010298e+01;2.011080101000000000e+09;1.000000000000000000e+00;4.576004543378093103e+02;2.473449235734164802e+02
2.304689484328266190e+03;1.012693213153635838e+03;2.183650000000000000e+05;2.965189218521118164e-01;-7.994540035724639893e-02;-9.516749978065490723e-01;8.017354011535644531e-01;3.020426928997039795e-01;-8.003080636262893677e-02;1.121611073613166809e-01;5.200000000000000000e+01;4.940000000000000000e+02;1.572673231696816210e+01;6.027457217508094800e+01;2.508698180648004339e+01;2.011080101000000000e+09;1.000000000000000000e+00;4.576004543378093103e+02;2.473449235734164802e+02
2.304706152951667718e+03;1.012863077072323449e+03;2.183670000000000000e+05;2.509519159793853760e-01;-1.078631356358528137e-02;-9.679394364356994629e-01;8.069578409194946289e-01;2.536785900592803955e-01;-1.078652311116456985e-02;1.149090752005577087e-01;5.200000000000000000e+01;4.940000000000000000e+02;1.570035281987957099e+01;6.027457274206295779e+01;2.508697897156998380e+01;2.011080101000000000e+09;1.000000000000000000e+00;4.329312613857505312e+02;2.136125076582908378e+02
2.304722821575068792e+03;1.013032940991006512e+03;2.183670000000000000e+05;3.006800711154937744e-01;2.507783658802509308e-02;-9.533953070640563965e-01;7.640970349311828613e-01;3.055048286914825439e-01;2.508046478033065796e-02;1.133515536785125732e-01;5.200000000000000000e+01;4.940000000000000000e+02;1.567397332279169930e+01;6.027457330904496757e+01;2.508697613665992421e+01;2.011080101000000000e+09;1.000000000000000000e+00;4.620884295594793230e+02;1.928205575688038778e+02
2.304739490198469866e+03;1.013202804909689462e+03;2.183680000000000000e+05;3.006800711154937744e-01;2.507783658802509308e-02;-9.533953070640563965e-01;7.640970349311828613e-01;3.055048286914825439e-01;2.508046478033065796e-02;1.133515536785125732e-01;5.200000000000000000e+01;4.930000000000000000e+02;1.564759382570382584e+01;6.027457387602697736e+01;2.508697330174986462e+01;2.011080101000000000e+09;1.000000000000000000e+00;4.620884295594793230e+02;1.928205575688038778e+02
2.304756158821870940e+03;1.013372668828372412e+03;2.183700000000000000e+05;3.132191002368927002e-01;-3.243658691644668579e-02;-9.491267800331115723e-01;7.419394850730895996e-01;3.187544643878936768e-01;-3.244227916002273560e-02;1.148677915334701538e-01;5.200000000000000000e+01;4.920000000000000000e+02;1.562121432861595416e+01;6.027457444300899425e+01;2.508697046683980503e+01;2.011080101000000000e+09;1.000000000000000000e+00;4.680022806382949057e+02;2.223409325938721111e+02
2.304772827445272014e+03;1.013542532747055475e+03;2.183700000000000000e+05;2.981459200382232666e-01;-4.934841766953468323e-02;-9.532437920570373535e-01;7.571447491645812988e-01;3.031306862831115723e-01;-4.936846718192100525e-02;1.166746392846107483e-01;5.200000000000000000e+01;4.920000000000000000e+02;1.559483483152808247e+01;6.027457500999100404e+01;2.508696763192974544e+01;2.011080101000000000e+09;1.000000000000000000e+00;4.590522445850740496e+02;2.317394592643622389e+02
