ts,ecg
1365004402.1405,15131.47754
1365004402.14091,15106.09473
1365004402.14241,15108.28125
1365004402.14842,15121.9375
1365004402.17036,15099.16895
1365004402.17043,15106.52246
1365004402.18138,15095.6875
1365004402.18144,15080.35742
1365004402.18743,15092.20605
1365004402.20331,15060.39844
1365004402.20352,15061.02148
1365004402.21834,15051.28613
1365004402.2186,15020.41895
1365004402.23231,15019.14844
1365004402.23254,14984.21289
1365004402.24832,14966.83105
1365004402.25435,14958.85547
1365004402.25442,14925.09277
1365004402.2724,14934.86523
1365004402.27247,14917.38477
1365004402.28834,14922.74707
1365004402.28841,14955.19043
1365004402.30132,14962.6416
1365004402.30139,15015.85059
1365004402.31237,15042.99219
1365004402.32734,15064.51465
1365004402.32741,15103.96875
1365004402.34036,15103.16309
1365004402.34041,15127.61719
1365004402.36142,15135.67969
1365004402.36149,15127.44629
1365004402.37229,15151.79102
1365004402.37234,15143.32617
1365004402.38235,15149.93457
1365004402.40464,15163.9082
1365004402.40473,15143.06934
1365004402.41232,15165.04395
1365004402.41238,15152.43848
1365004402.42633,15148.04102
1365004402.42639,15161.13574
1365004402.4353,15135.72852
1365004402.45238,15154.6123
1365004402.45245,15149.44531
1365004402.46738,15137.60938
1365004402.46744,15163.79785
1365004402.48435,15140.06445
1365004402.48442,15154.7832
1365004402.49632,15162.6377
1365004402.50527,15150.05664
1365004402.50532,15171.71387
1365004402.52333,15153.21973
1365004402.5234,15158.96094
1365004402.53729,15171.84766
1365004402.53736,15150.12988
1365004402.5504,15169.13672
1365004402.55048,15159.90137
1365004402.56378,15162.68652
1365004402.57533,15182.23047
1365004402.57538,15162.83301
1365004402.59233,15179.17676
1365004402.5924,15173.31348
1365004402.60735,15161.53809
1365004402.60741,15181.71777
1365004402.62145,15165.04395
1365004402.62152,15174.97461
1365004402.63035,15180.1416
1365004402.64528,15161.28223
1365004402.64534,15174.59668
1365004402.66039,15146.79492
1365004402.66049,15147.94336
1365004402.67439,15156.13965
1365004402.67448,15158.8877
1365004402.68437,15192.43066
1365004402.70036,15181.80273
1365004402.70043,15174.52344
1365004402.71737,15189.87695
1365004402.71744,15173.17969
1365004402.73036,15191.00098
1365004402.73043,15192.49121
1365004402.74331,15182.8418
1365004402.74337,15196.60742
1365004402.75435,15176.26953
1365004402.77036,15188.90039
1365004402.77042,15187.93555
1365004402.78438,15132.74805
1365004402.78445,15075.54492
1365004402.79836,15002.88965
1365004402.80835,15227.32812
1365004402.80841,15924.6709
