Faculty;Applications;Students who took part in the entrance exams;Accepted students;Students who accepted the study place
Biological and Environmental Sciences;1958;1257;213;187
Veterinary Medicine;746;526;72;72
Pharmacy;1853;1204;199;183
Arts;3819;1944;505;493
Educational Sciences;2939;2026;480;470
Medicine;4501;3204;280;279
Agriculture and Forestry;1112;643;277;265
Science;2897;891;762;649
Law;2875;1926;266;266
Swedish School of Social Science;296;146;117;102
Theology;627;295;134;132
Social Sciences;3510;1555;283;269
