time,x
0.00000000,0.00000000
0.12693304,0.12659245
0.25386607,0.25114799
0.38079911,0.37166246
0.50773215,0.48619674
0.63466518,0.59290793
0.76159822,0.69007901
0.88853126,0.77614646
1.01546429,0.84972543
1.14239733,0.90963200
1.26933037,0.95490224
1.39626340,0.98480775
1.52319644,0.99886734
1.65012947,0.99685478
1.77706251,0.97880245
1.90399555,0.94500082
2.03092858,0.89599377
2.15786162,0.83256985
2.28479466,0.75574957
2.41172769,0.66676900
2.53866073,nan
2.66559377,nan
2.79252680,nan
2.91945984,nan
3.04639288,nan
3.17332591,nan
3.30025895,nan
3.42719199,nan
3.55412502,nan
3.68105806,nan
3.80799110,nan
3.93492413,nan
4.06185717,nan
4.18879020,nan
4.31572324,nan
4.44265628,nan
4.56958931,nan
4.69652235,nan
4.82345539,nan
4.95038842,nan
5.07732146,-0.93414786
5.20425450,-0.88145336
5.33118753,-0.81457595
5.45812057,-0.73459171
5.58505361,-0.64278761
5.71198664,-0.54064082
5.83891968,-0.42979491
5.96585272,-0.31203345
6.09278575,-0.18925124
6.21971879,-0.06342392
6.34665183,0.06342392
6.47358486,0.18925124
6.60051790,0.31203345
6.72745093,0.42979491
6.85438397,0.54064082
6.98131701,0.64278761
7.10825004,0.73459171
7.23518308,0.81457595
7.36211612,0.88145336
7.48904915,0.93414786
7.61598219,0.97181157
7.74291523,0.99383846
7.86984826,0.99987413
7.99678130,0.98982144
8.12371434,0.96384216
8.25064737,0.92235429
8.37758041,0.86602540
8.50451345,0.79576184
8.63144648,0.71269417
8.75837952,0.61815899
8.88531256,0.51367739
9.01224559,0.40093054
9.13917863,0.28173256
9.26611167,0.15800140
9.39304470,0.03172793
9.51997774,-0.09505604
9.64691077,-0.22031053
9.77384381,-0.34202014
9.90077685,-0.45822652
10.02770988,-0.56705986
10.15464292,-0.66676900
10.28157596,-0.75574957
10.40850899,-0.83256985
10.53544203,-0.89599377
10.66237507,-0.94500082
10.78930810,-0.97880245
10.91624114,-0.99685478
11.04317418,-0.99886734
11.17010721,-0.98480775
11.29704025,-0.95490224
11.42397329,-0.90963200
11.55090632,-0.84972543
11.67783936,-0.77614646
11.80477240,-0.69007901
11.93170543,-0.59290793
12.05863847,-0.48619674
12.18557150,-0.37166246
12.31250454,-0.25114799
12.43943758,-0.12659245
12.56637061,-0.00000000
