Year,HelsinkiWinter,HelsinkiSpring,HelsinkiSummer,HelsinkiFall,JyvaskylaWinter,JyvaskylaSpring,JyvaskylaSummer,JyvaskylaFall,SodankylaWinter,SodankylaSpring,SodankylaSummer,SodankylaFall
1830,-8.0,1.3,14.5,6.4,,,,,,,,
1831,-6.5,1.5,16.7,5.2,,,,,,,,
1832,-3.1,2.6,13.9,5.3,,,,,,,,
1833,-3.6,1.0,14.3,7.8,,,,,,,,
1834,-6.2,3.1,16.7,4.6,,,,,,,,
1835,-2.9,1.9,14.2,5.1,,,,,,,,
1836,-7.1,3.5,13.3,5.0,,,,,,,,
1837,-4.6,1.1,15.0,5.9,,,,,,,,
1838,-10.0,-0.3,14.6,6.0,,,,,,,,
1839,-4.7,0.4,16.0,5.7,,,,,,,,
1840,-7.7,0.6,14.2,5.0,,,,,,,,
1841,-8.5,3.1,14.5,5.9,,,,,,,,
1842,-2.2,2.3,16.0,4.0,,,,,,,,
1843,-1.6,-0.6,16.0,5.0,,,,,,,,
1844,-7.9,1.5,14.0,5.1,,,,,,,,
1845,-7.0,-1.1,15.2,5.8,,,,,,,,
1846,-7.4,2.8,17.0,7.1,,,,,,,,
1847,-7.3,-0.4,16.0,7.4,,,,,,,,
1848,-5.0,3.8,14.0,5.7,,,,,,,,
1849,-6.1,1.2,13.7,5.3,,,,,,,,
1850,-8.7,1.1,15.7,4.7,,,,,,,,
1851,-4.5,0.9,14.5,7.2,,,,,,,,
1852,-5.0,0.8,16.0,2.8,,,,,,,,
1853,-4.6,-0.4,15.6,6.7,,,,,,,,
1854,-6.4,2.8,17.3,4.8,,,,,,,,
1855,-7.1,1.1,16.5,5.1,,,,,,,,
1856,-8.3,0.2,13.1,2.8,,,,,,,,
1857,-5.7,1.7,14.9,5.7,,,,,,,,
1858,-3.2,1.9,17.5,5.0,,,,,,,,
1859,-2.5,2.7,15.4,5.6,,,,,,,,
1860,-5.7,1.6,16.0,5.0,,,,,,,,
1861,-9.2,1.7,16.9,5.2,,,,,,,,
1862,-9.3,1.0,12.5,5.4,,,,,,,,
1863,-2.8,2.6,14.2,7.9,,,,,,,,
1864,-3.6,1.2,14.7,2.1,,,,,,,,
1865,-6.8,0.7,14.0,5.3,,,,,,,,
1866,-3.6,0.4,15.4,6.0,,,,,,,,
1867,-8.0,-2.2,14.1,4.3,,,,,,,,
1868,-9.5,2.4,16.8,5.3,,,,,,,,
1869,-4.3,2.8,14.6,5.2,,,,,,,,
1870,-5.2,2.0,15.2,5.1,,,,,,,,
1871,-12.9,1.8,14.4,3.6,,,,,,,,
1872,-4.1,3.4,16.3,6.7,,,,,,,,
1873,-4.3,1.4,16.0,6.4,,,,,,,,
1874,-1.8,1.8,14.3,6.4,,,,,,,,
1875,-8.6,0.4,15.2,2.6,,,,,,,,
1876,-9.6,1.4,16.5,4.6,,,,,,,,
1877,-9.9,-0.9,13.8,6.0,,,,,,,,
1878,-3.0,2.5,14.3,7.8,,,,,,,,
1879,-4.8,1.9,15.3,5.0,,,,,,,,
1880,-5.4,1.9,15.4,3.6,,,,,,,,
1881,-9.2,-1.2,13.9,5.3,,,,,,,,
1882,-1.5,3.7,16.4,4.7,,,,,,,,
1883,-7.7,1.2,15.5,7.1,,,,,,,,
1884,-3.3,1.3,14.9,6.2,,,,,,,,
1885,-4.6,1.4,15.4,4.1,,,,,,,,
1886,-5.9,2.0,16.2,6.2,,,,,,,,
1887,-1.4,3.4,15.0,5.2,,,,,,,,
1888,-8.2,-1.0,14.4,4.3,,,,,,,,
1889,-5.8,2.0,15.7,6.5,,,,,,,,
1890,-2.6,5.1,14.9,5.3,,,,,,,,
1891,-3.9,2.4,14.8,5.4,,,,,,,,
1892,-6.3,1.3,13.6,6.1,,,,,,,,
1893,-11.4,1.5,14.9,4.9,,,,,,,,
1894,-2.1,4.8,15.7,4.4,,,,,,,,
1895,-7.2,2.6,15.9,6.2,,,,,,,,
1896,-3.5,2.3,17.2,5.8,,,,,,,,
1897,-6.3,4.2,16.5,5.9,,,,,,,,
1898,-3.7,1.6,15.8,5.8,,,,,,,,
1899,-5.0,0.5,14.5,6.5,,,,,,,,
1900,-7.7,1.0,15.3,5.4,,,,,,,,
1901,-5.0,2.4,17.8,6.2,,,,,,-2.5,14.3,0.6
1902,-6.9,0.5,13.1,3.8,,,,,-15.6,-4.9,9.6,-2.5
1903,-4.8,4.4,15.3,5.5,,,,,-10.5,-1.8,10.6,-3.6
1904,-3.3,1.3,13.5,5.4,,,,,-12.0,-2.4,10.7,-0.7
1905,-4.9,3.2,15.7,5.2,,,,,-14.7,-2.9,12.4,-3.3
1906,-2.2,3.9,15.9,5.3,,,,,-10.0,-3.5,11.6,-0.2
1907,-5.6,1.9,14.4,6.7,,,,,-12.0,-1.3,11.4,0.8
1908,-6.9,2.0,15.0,4.4,,,,,-12.9,-1.8,11.9,-1.8
